word	tag_length	pattern	pattern_count
beau	1737	b-i-b-text-b-text-i-text	7
dire	1556	b-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-i-text	1
en	1386	b-text-i-text-i-i-text	52
chou	933	b-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-i-i-text	1
dieu	802	b-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-text-i-i-text-i-text-i-text-i-text-i-text-i-i-text	1
nouveau	636	b-text-b-text-i-text-b-text-i-text	3
ce qui	557	b-text-b-text-b-text-b-text-i-text	2
beau	459	b-text-b-text-b-text-i-i-text	1
éloigner	455	i-text-b-text-i-text	20
celui-là	420	b-text-b-text-i-text-b-text-b-text-i-text	2
nôtre	360	b-text-b-text-i-i-text	14
juste	324	b-text-i-text-i-i-text	52
heurter	308	i-text-b-text-i-text	20
fou	294	b-i-b-text-b-text-i-text	7
mou	293	b-text-b-text-i-text-b-text-i-text	3
mon	284	b-text-i-i-text-b-text-i-text-b-text-i-text	2
le	281	b-text-i-i-text-b-text-i-text-b-text-i-text	2
ce	279	b-text-b-text-i-text-b-text-i-text-b-text-i-text	1
vieux	267	b-text-b-text-i-text-b-text-i-text	3
abreuver	255	i-b-b-text-i-text	2
assujettir	250	b-text-i-b-text-i-text	30
autant mieux	249	i-b-i-i-b-text-i-text	1
gare!	249	b-i-text-i-text-i-text-i-text-i-i-text-i-i-text	1
occuper	248	i-b-b-text-i-b-text-i-text	1
fier	241	i-b-text-b-text-i-text	2
?	235	text-i-text	3
diable!	235	b-i-text	37
lequel	233	b-text-i-i-text-b-text-i-text-b-text-i-text-b-text-i-text	1
brouiller	232	i-text-b-text-i-text	20
point	228	b-text-i-text-i-b-text-i-text	36
son	225	b-text-b-text-b-text-i-text	5
assouvir	216	b-text-i-text-i-text-i-text-i-b-text-i-text	1
personne	192	b-text-i-i-text	39
piano	191	b-text-i-text-i-b-text-i-b-text-i-text	1
ton	183	b-text-i-text-b-text-i-text-b-text-i-text	3
stagiaire	180	b-text-i-text-i-i-text	52
fur	178	b-text-i-i-text	39
dia!	175	b-i-text	37
hausser	171	i-text-b-text-i-text	20
il	171	b-text-i-i-text-i-b-text-i-text	1
rafle	170	b-text-b-text-i-b-text-i-text	12
dépouiller	165	i-text-b-text-i-text	20
adieu	159	b-text-i-text-i-text-i-b-text-i-text	1
aigrette	150	b-i-text	37
celui	149	b-text-i-text-b-text-i-text-b-text-b-text-i-text	1
hérisser	149	i-text-b-text-i-text	20
vrac	149	b-text-b-text-i-b-text-i-text	12
pincette	147	b-text-i-text-i-b-text-i-text	36
converse	143	b-text-i-text-i-i-text	52
quoi!	143	b-i-text	37
tonnerre	142	b-text-i-text-i-text-i-text-i-i-text	1
crénelé	140	b-text-b-text-i-i-text	14
négrier	139	b-text-i-text-i-i-text	52
reposé	138	b-text-b-text-i-i-text	14
chicaneu-r	134	b-text-i-text-b-text-i-text-b-text-i-text-b-text-i-text	1
tiens!	134	b-i-b-i-text	1
anticipé	131	b-text-b-text-i-i-text	14
timbré	131	b-text-b-text-i-i-text	14
salope	130	b-text-i-text-i-i-text	52
vôtre	130	i-b-text-i-i-text-b-text-i-text-b-text-i-text	1
jectisses	120	b-text-i-i-text	39
orchidées	120	b-i-b-i-b-text-i-text	1
travaillé	120	b-text-b-text-i-i-text	14
indispensable	118	b-text-i-text-i-i-text	52
coïonnerie	115	b-text-i-b-text-b-text-i-text	1
percée	112	b-text-i-text-i-b-text-i-text	36
croquante	109	b-text-i-text-i-b-text-i-text	36
excrémenteu-x	109	b-text-b-text-i-b-text-b-text-i-b-text-b-text-i-text	1
méfier	108	i-b-text-b-text-i-text	2
varietur	107	i-b-text	2
hâter	106	i-text-b-text-i-text	20
vanne	106	b-text-i-text-i-i-text	52
crépin	104	i-text-b-text-i-text	20
cyrillien	104	b-i-b-text-i-i-text	1
refrogné	104	b-text-b-text-i-b-text-b-text-i-text	9
tille	103	text-b-i-b-text-i-text	12
sévir	102	b-text-i-text-b-text	5
saille!	101	text-b-i-text	12
preux	100	b-text-i-text-i-i-text	52
succursale	100	b-text-i-text-i-i-text	52
amphictyonide	99	b-text-i-i-text	39
couturier	99	b-text-i-text-i-i-text	52
hasarder	98	i-text-b-text-i-text	20
rongeur	98	b-text-i-text-i-i-text	52
fi!	96	b-i-text	37
fleurer	95	b-text-i-text-i-text-i-b-text-i-b-text	1
votre	95	b-text-i-i-text-b-text-i-text	1
le	94	b-text-i-text-b-text-i-text-b-text-i-text	3
ajourner	93	b-text-i-text-i-b-text-i-text	36
trouvère	93	b-i-text-b-text-i-text	7
gigogne	92	b-text-i-i-text	39
margot	92	b-text-i-text-b-text	5
voyer	92	b-text-i-text-i-i-text	52
toc!	91	b-i-text	37
fat	88	b-text-i-text-i-i-text	52
chasse-cousins	87	b-text-i-text-i-text-i-i-text	34
murmurateur	87	b-text-i-text-i-i-text	52
thoracique	87	b-i-text-b-text-i-text	7
chauffe-chemise	86	b-text-i-text-i-text-i-i-text-i-b-text-i-text	1
sterling	86	b-text-i-text-i-i-text	52
attrape	85	b-text-i-i-text	39
entre-colonne	85	b-text-i-text-i-b-text-i-text	36
sacramental	85	b-text-b-text-i-b-text-b-text-i-text	9
hussarde	84	i-text-b-text-i-text	20
vileté	84	b-text-i-b-text-i-text	30
bénéficiaire	83	b-text-i-i-text	39
encoignure	83	text-b-i-b-text-i-text	12
têt	83	b-text-i-b-text-i-text	30
vagabonder	83	b-i-text-b-text-i-text	7
palsambleu!	82	b-b-i-text	1
charivariseur	81	b-text-b-text-i-b-text-i-text	12
déci	81	b-text	26
marinière	81	i-b-text-i-i-text	2
minimâ	81	i-b-text-i-i-text	2
pou-de-soie	81	b-text-i-text-i-b-text-i-text	36
prrr!	81	b-i-text	37
récrémenteu-x	81	b-text-b-text-i-b-text-b-text-i-text	9
accoster	80	i-b-b-text-i-text	2
cogne-fétu	80	text-b-text-i-text-i-text-i-i-text	3
mafflé	80	b-text-b-text-i-b-text-b-text-i-text	9
onirocritie	80	b-text-i-b-text-i-text	30
coulis	79	b-text-i-i-text	39
garde-vaisselle	79	b-text-i-text-i-text-i-i-text	34
saigner	79	i-text-b-text-i-text	20
officiant	78	b-text-i-text-i-i-text	52
recuit	78	b-text-i-text-i-b-text-i-text	36
tilleu-r	78	text-b-text-i-text-b-text-i-text-i-b-text-b-text	1
verglacé	78	b-text-b-text-i-i-text	14
déca	77	b-text	26
désenrhumer	77	b-text-i-text-i-i-text	52
garde-magasin	77	b-text-i-text-i-text-i-i-text	34
unisexué	77	b-text-b-text-i-b-text-b-text-i-text	9
graini-er	75	b-i-b-text-i-text-b-text-i-text	1
ressuscitation	75	b-text-i-text-i-b-text-i-text	36
