word	tag_length	pattern	pattern_count
beau	1737	b-i-b-text-b-text-i-text	6
nouveau	636	b-text-b-text-i-text-b-text-i-text	3
ce qui	557	b-text-b-text-b-text-b-text-i-text	2
éloigner	455	i-text-b-text-i-text	20
heurter	308	i-text-b-text-i-text	20
fou	294	b-i-b-text-b-text-i-text	6
mou	293	b-text-b-text-i-text-b-text-i-text	3
vieux	267	b-text-b-text-i-text-b-text-i-text	3
abreuver	255	i-b-b-text-i-text	2
assujettir	250	b-text-i-b-text-i-text	30
occuper	248	i-b-b-text-i-b-text-i-text	1
fier	241	i-b-text-b-text-i-text	2
?	235	text-i-text	3
diable!	235	b-i-text	36
brouiller	232	i-text-b-text-i-text	20
point	228	b-text-i-text-i-b-text-i-text	6
son	225	b-text-b-text-b-text-i-text	5
assouvir	216	b-text-i-text-i-text-i-text-i-b-text-i-text	1
piano	191	b-text-i-text-i-b-text-i-b-text-i-text	1
dia!	175	b-i-text	36
hausser	171	i-text-b-text-i-text	20
rafle	170	b-text-b-text-i-b-text-i-text	12
dépouiller	165	i-text-b-text-i-text	20
aigrette	150	b-i-text	36
hérisser	149	i-text-b-text-i-text	20
vrac	149	b-text-b-text-i-b-text-i-text	12
quoi!	143	b-i-text	36
chicaneu-r	134	b-text-i-text-b-text-i-text-b-text-i-text-b-text-i-text	1
tiens!	134	b-i-b-i-text	1
orchidées	120	b-i-b-i-b-text-i-text	1
coïonnerie	115	b-text-i-b-text-b-text-i-text	1
croquante	109	b-text-i-text-i-b-text-i-text	6
excrémenteu-x	109	b-text-b-text-i-b-text-b-text-i-b-text-b-text-i-text	1
méfier	108	i-b-text-b-text-i-text	2
varietur	107	i-b-text	2
hâter	106	i-text-b-text-i-text	20
crépin	104	i-text-b-text-i-text	20
refrogné	104	b-text-b-text-i-b-text-b-text-i-text	8
tille	103	text-b-i-b-text-i-text	12
sévir	102	b-text-i-text-b-text	5
saille!	101	text-b-i-text	12
hasarder	98	i-text-b-text-i-text	20
fi!	96	b-i-text	36
fleurer	95	b-text-i-text-i-text-i-b-text-i-b-text	1
le	94	b-text-i-text-b-text-i-text-b-text-i-text	2
trouvère	93	b-i-text-b-text-i-text	6
margot	92	b-text-i-text-b-text	5
entre-colonne	85	b-text-i-text-i-b-text-i-text	6
sacramental	85	b-text-b-text-i-b-text-b-text-i-text	8
hussarde	84	i-text-b-text-i-text	20
vileté	84	b-text-i-b-text-i-text	30
encoignure	83	text-b-i-b-text-i-text	12
têt	83	b-text-i-b-text-i-text	30
vagabonder	83	b-i-text-b-text-i-text	6
palsambleu!	82	b-b-i-text	1
charivariseur	81	b-text-b-text-i-b-text-i-text	12
déci	81	b-text	26
pou-de-soie	81	b-text-i-text-i-b-text-i-text	6
prrr!	81	b-i-text	36
récrémenteu-x	81	b-text-b-text-i-b-text-b-text-i-text	8
accoster	80	i-b-b-text-i-text	2
onirocritie	80	b-text-i-b-text-i-text	30
saigner	79	i-text-b-text-i-text	20
déca	77	b-text	26
unisexué	77	b-text-b-text-i-b-text-b-text-i-text	8
graini-er	75	b-i-b-text-i-text-b-text-i-text	1
manioc	73	b-text-b-text-i-b-text-i-text	12
teter	73	b-text-i-b-text-i-text	30
exsangue	72	b-text-b-text-b-text-i-text	5
peste!	72	b-i-text	36
gras-fondu	71	b-text-i-text-i-b-text-i-text	6
refrognement	71	text-b-i-b-text-i-text	12
houspiller	70	text-i-text-b-text-i-text	2
trucheman	70	b-text-i-b-text-i-text	30
quiconque	69	b-text	26
réal	69	b-text-i-text-i-b-text-i-text	6
appariement	67	b-text-i-b-text-i-text	30
bief	67	b-text-i-b-text-i-text	30
musi-f	67	b-i-b-text-b-text-i-text	6
tiller	67	text-b-i-b-text-i-text	12
becqueter	66	i-b-i-b-text-i-text	1
dîné	66	b-text-i-b-text-i-text	30
sacramentalement	66	b-text-i-b-text-i-text	30
accorde!	65	b-i-text	36
confortant	65	b-text-b-text-i-b-text-b-text-i-text	8
sororal	65	b-text-b-text-i-b-text-b-text-i-text	8
archipompe	64	b-text-i-b-text-i-text	30
fichtre!	64	b-i-text	36
époullin	63	b-text-b-text-i-b-text-i-text	12
papilionacé	63	b-text-b-text-b-text-b-text-i-text	2
refrogner	62	i-b-text-i-b-text-i-text	1
tesson	62	b-text-i-b-text-i-text	30
belvéder	61	b-text-i-b-text-i-text	30
bohème	61	b-text-i-text-b-text-i-text-b-text-i-text	2
tillage	61	text-b-i-b-text-i-text	12
agnus	60	b-text-i-b-text-i-text	30
branche-ursine	60	b-text-i-b-text-i-text	30
épargner	60	i-text-b-text-i-text	20
lithargé	60	b-text-b-text-i-b-text-b-text-i-text	8
serrette	60	b-text-i-b-text-i-text	30
bécabunga	59	b-text-i-b-text-i-text	30
pellée	59	b-text-b-text-b-text-i-text	5
veillote	59	text-b-i-b-text-i-text	12
vinetier	59	b-text-i-b-text-i-text	30
guinde	57	b-text-i-text-b-text-b-text-i-text	1
?	57	text-i-text	3
pelu	57	b-text-b-text-i-text-b-text	2
toutenague	57	b-text-i-b-text-i-text	30
hisser	56	i-text-b-text-i-text	20
hyperborée	56	b-i-b-text-b-text-i-text	6
vasculaire	56	b-i-text-b-text-b-text-i-text	1
hola!	55	text-b-i-text	12
lenticulaire	55	b-i-b-text-b-text-i-text	6
érucage	53	b-text-b-text-i-b-text-i-text	12
gano	53	b-text	26
hymen	53	b-text-i-b-text-i-text	30
tamisaille	53	text-b-i-b-text-i-text	12
tarare!	53	b-i-text	36
tortille	53	text-b-i-b-text-i-text	12
corbleu!	52	b-i-text	36
délégant	52	b-i-b-text-i-text-b-text-b-text-i-text	1
déshabiller	51	i-text-b-text-i-text	20
saint-simonien	51	b-text-i-b-text-i-text	30
senegrain	51	b-text-b-text-i-b-text-i-text	12
ouais!	50	b-i-text	36
ure	50	b-text-b-text-i-b-text-i-text	12
diachylon	49	b-text-i-b-text-i-text	30
squirreu-x	49	b-text-b-text-i-b-text-b-text-i-text	8
tamaris	49	b-text-b-text-i-b-text-i-text	12
trille	49	text-b-text-i-b-text-i-text	1
uranie	49	b-text	26
cafetan	48	b-text-i-b-text-i-text	30
?	47	text-i-text	3
o!	47	b-i-text	36
rencogner	47	i-text-b-text-i-text	20
fabricien	46	b-text-i-b-text-i-text	30
flétan	46	b-text-b-text-i-b-text-i-text	12
moitié	46	b-text-b-text-b-text-i-text	5
bestiaux	45	b-text-i-text-b-text	5
harpailler	45	text-i-text-b-text-i-text	2
embu	44	b-text-b-text-i-text-b-text	2
foarre	44	b-text-b-text-b-text-i-text	5
havir	44	i-text-b-text-i-text	20
hublot	44	text-b-i-b-text-i-text	12
p.	44	b-text	26
hutter	43	i-text-b-text-i-text	20
rabdomancie	43	b-i-text-b-text-i-text	6
sapotier	43	b-i-text-b-text-i-text	6
hémi	42	b-text	26
hottereau	42	text-b-i-text-b-text-i-text	1
roman	42	b-text-b-text-i-b-text-i-text	12
tramail	42	text-b-i-b-text-i-text	12
st!	41	b-i-text	36
avecque	40	b-text-i-text-b-text	5
belle	40	b-text-b-text-i-b-text-i-text	12
ho!	40	text-b-i-text	12
mirlirot	40	b-text-i-text-b-text-i	2
patatras!	40	b-i-text	36
redondant	40	b-i-b-text-b-text-i-text	6
sapote	40	b-i-text-b-text-i-text	6
test	40	b-text-i-b-text-i-text	30
bourdaine	39	b-text-i-b-text-i-text	30
bran!	39	b-i-text	36
hai!	39	text-b-i-text	12
harper	39	i-text-b-text-i-text	20
heu!	39	b-i-text	36
houper	39	i-text-b-text-i-text	20
p.	39	b-text	26
phil-	39	b-i-b-text	1
teter	39	b-text-i-b-text-i-text	30
bravo!	38	b-i-text	36
mozarabe	38	b-text-i-b-i-text	1
arnica	37	b-text-i-b-text-i-text	30
ferme!	37	b-i-text	36
hue!	37	text-b-i-text	12
tribunat	37	b-i-text	36
yeux	37	b-text-i-text-i-text-b-text-i-text	1
archi	36	b-text	26
mde.	36	b-text	26
b-fa-si	35	b-text	26
cafier	35	b-text-i-b-text-i-text	30
ct	35	b-text-b-text	9
d.m.	35	b-text	26
hâler	35	i-text-b-text-i-text	20
henriade	35	b-text-b-text	9
hydr	35	b-text-b-text	9
piperesse	35	b-text-i-text-b-text-i	2
bauque	34	b-text-i-b-text-i-text	30
érigne	34	text-b-i-b-text-i-text	12
gastro	34	b-text	26
haïe!	34	text-b-i-text	12
md.	34	b-text	26
pent	34	b-text-b-text	9
vignot	34	text-b-i-b-text-i-text	12
cᵗᵉˢˢᵉ	33	b-text-b-text	9
iléon	33	b-i-text	36
pseudo	33	b-text	26
cathédra	32	i-b-text	2
proto	32	b-text	26
parbleu!	31	b-i-text	36
poly-	31	b-text	26
tétra	31	b-text	26
cⁱᵉ.	30	b-text	26
corymbé	30	b-text-b-text	9
mono	30	b-text	26
vélaut!	30	b-i-text	36
hahé!	29	text-b-i-text	12
hé!	29	text-b-i-text	12
siroco	29	b-i-text-b-text-i-text	6
néo	28	b-text	26
pan!	28	b-i-text	36
hare!	27	text-b-i-text	12
o.	27	b-text	26
paix!	27	b-i-text	36
turlututu!	27	b-i-text	36
décatissage	26	b-i-text	36
chᵉʳ.	25	b-text	26
qu’	24	b-text	26
cᵗᵉ	23	b-text-b-text	9
pouah!	23	b-i-text	36
tête-bleu!	23	b-i-text	36
tête-dieu!	23	b-i-text	36
hom!	22	text-b-i-text	12
mame	22	b-text-b-text	9
ventrebleu!	22	b-i-text	36
ex	21	b-text	26
hein!	21	b-i-text	36
hélas!	21	b-i-text	36
morbleu!	21	b-i-text	36
aulx	17	b-text-i-text-b-text	5
ha!	17	text-b-i-text	12
hem!	15	text-b-i-text	12
oh!	15	b-i-text	36
d’	13	b-text-b-text	9
ouf!	13	b-i-text	36
a	7	b-text	26
